Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Capital District,Colombia,2021-04-01 4:27,4.711,-74.0721,687382,14409,660006,12967,"Capital District, Colombia",9273.199051,2.096214332
Caqueta,Colombia,2021-04-01 4:27,0.8699,-73.8419,17185,649,16328,208,"Caqueta, Colombia",4280.316522,3.776549316
Casanare,Colombia,2021-04-01 4:27,5.7589,-71.5724,13044,305,12466,273,"Casanare, Colombia",3101.991895,2.338239804
Cauca,Colombia,2021-04-01 4:27,2.705,-76.826,28124,775,26847,502,"Cauca, Colombia",1920.398119,2.755653534
Cesar,Colombia,2021-04-01 4:27,9.3373,-73.6536,43133,1239,41115,779,"Cesar, Colombia",3592.698159,2.872510607
Choco,Colombia,2021-04-01 4:27,5.2528,-76.826,6706,204,6406,96,"Choco, Colombia",1253.865743,3.042051894
Cordoba,Colombia,2021-04-01 4:27,8.0493,-75.574,43023,2010,39770,1243,"Cordoba, Colombia",2410.545148,4.671919671
Cundinamarca,Colombia,2021-04-01 4:27,5.026,-74.03,110923,3066,106522,1335,"Cundinamarca, Colombia",3799.95615,2.764079587
Guainia,Colombia,2021-04-01 4:27,2.5854,-68.5247,1335,22,1308,5,"Guainia, Colombia",2774.660182,1.647940075
Guaviare,Colombia,2021-04-01 4:27,1.0654,-73.2603,2299,40,2251,8,"Guaviare, Colombia",2777.677094,1.739886907
Huila,Colombia,2021-04-01 4:27,2.5359,-75.5277,50915,1791,48765,359,"Huila, Colombia",4627.012703,3.517627418
La Guajira,Colombia,2021-04-01 4:27,11.3548,-72.5205,17879,665,16841,373,"La Guajira, Colombia",2030.412465,3.719447396
Magdalena,Colombia,2021-04-01 4:27,10.4113,-74.4057,43967,1618,40528,1821,"Magdalena, Colombia",3276.849717,3.680032752
Meta,Colombia,2021-04-01 4:27,3.272,-73.0877,43742,999,42271,472,"Meta, Colombia",4207.086125,2.283846189
Narino,Colombia,2021-04-01 4:27,1.2892,-77.3579,50335,1693,47843,799,"Narino, Colombia",3086.915672,3.363464786
Norte de Santander,Colombia,2021-04-01 4:27,7.9463,-72.8988,51927,2764,48486,677,"Norte de Santander, Colombia",3481.087546,5.322857088
Putumayo,Colombia,2021-04-01 4:27,0.436,-75.5277,8204,324,7732,148,"Putumayo, Colombia",2356.238978,3.949293028
Quindio,Colombia,2021-04-01 4:27,4.461,-75.6674,34536,1021,33016,499,"Quindio, Colombia",6396.692745,2.956335418
Risaralda,Colombia,2021-04-01 4:27,5.3158,-75.9928,48878,1213,46718,947,"Risaralda, Colombia",5181.041784,2.481689103
San Andres y Providencia,Colombia,2021-04-01 4:27,12.5567,-81.7185,2758,45,2700,13,"San Andres y Providencia, Colombia",4500.652742,1.631617114
Santander,Colombia,2021-04-01 4:27,6.6437,-73.6536,94452,3490,89317,1645,"Santander, Colombia",4323.068494,3.694998518
Sucre,Colombia,2021-04-01 4:27,8.814,-74.7233,22914,849,21508,557,"Sucre, Colombia",2532.317047,3.705158418
Tolima,Colombia,2021-04-01 4:27,4.0925,-75.1545,66546,2150,63596,800,"Tolima, Colombia",5002.755252,3.230847835
Unknown,Colombia,2021-04-01 4:27,,,0,0,0,0,"Unknown, Colombia",,
Valle del Cauca,Colombia,2021-04-01 4:27,3.8009,-76.6413,208396,6565,197183,4648,"Valle del Cauca, Colombia",4655.972024,3.150252404
Vaupes,Colombia,2021-04-01 4:27,0.8554,-70.812,1161,13,1141,7,"Vaupes, Colombia",2845.797485,1.119724376
Vichada,Colombia,2021-04-01 4:27,4.4234,-69.2878,1440,23,1397,20,"Vichada, Colombia",1335.707925,1.597222222
,Comoros,2021-04-01 4:27,-11.6455,43.3333,3696,146,3525,25,Comoros,425.0254429,3.95021645
,Congo (Brazzaville),2021-04-01 4:27,-0.228,15.8277,9681,135,8208,1338,Congo (Brazzaville),175.4410764,1.394484041
,Congo (Kinshasa),2021-04-01 4:27,-4.0383,21.7587,28142,743,25444,1955,Congo (Kinshasa),31.42201746,2.640181934
,Costa Rica,2021-04-01 4:27,9.7489,-83.7534,216764,2957,192699,21108,Costa Rica,4255.185494,1.36415641
,Cote d'Ivoire,2021-04-01 4:27,7.54,-5.5471,43889,244,40254,3391,Cote d'Ivoire,166.3831316,0.55594796
,Croatia,2021-04-01 4:27,45.1,15.2,271632,5947,254379,11306,Croatia,6616.669119,2.189359133
,Cuba,2021-04-01 4:27,21.521757,-77.781167,75263,424,70614,4225,Cuba,664.4791348,0.563357825
,Cyprus,2021-04-01 4:27,35.1264,33.4299,46105,257,2057,43791,Cyprus,3818.659042,0.557423273
,Czechia,2021-04-01 4:27,49.8175,15.473,1532332,26421,1366461,139450,Czechia,14308.8484,1.724234696
Faroe Islands,Denmark,2021-04-01 4:27,61.8926,-6.9118,661,1,660,0,"Faroe Islands, Denmark",1352.706436,0.15128593
Greenland,Denmark,2021-04-01 4:27,71.7069,-42.6043,31,0,31,0,"Greenland, Denmark",54.60438244,0
,Denmark,2021-04-01 4:27,56.2639,9.5018,230603,2419,218985,9199,Denmark,3950.56682,1.048988955
,Diamond Princess,2021-04-01 4:27,,,712,13,699,0,Diamond Princess,,1.825842697
,Djibouti,2021-04-01 4:27,11.8251,42.5903,8002,70,6460,1472,Djibouti,809.9173888,0.874781305
,Dominica,2021-04-01 4:27,15.415,-61.371,161,0,153,8,Dominica,223.639066,0
,Dominican Republic,2021-04-01 4:27,18.7357,-70.1627,252727,3325,212156,37246,Dominican Republic,2329.731163,1.315648902
,Ecuador,2021-04-01 4:27,-1.8312,-78.1834,328755,16847,281684,30224,Ecuador,1863.367239,5.124484799
,Egypt,2021-04-01 4:27,26.820553,30.802498,202131,11995,154694,35442,Egypt,197.5200852,5.934270349
,El Salvador,2021-04-01 4:27,13.7942,-88.8965,64726,2006,61640,1080,El Salvador,997.9030869,3.099218243
,Equatorial Guinea,2021-04-01 4:27,1.6508,10.2679,6914,102,6495,317,Equatorial Guinea,492.8064092,1.475267573
,Eritrea,2021-04-01 4:27,15.1794,39.7823,3285,10,3029,246,Eritrea,92.62843984,0.304414003
,Estonia,2021-04-01 4:27,58.5953,25.0136,106424,902,81859,23663,Estonia,8022.68158,0.847553183
,Eswatini,2021-04-01 4:27,-26.5225,31.4659,17337,667,16528,142,Eswatini,1494.357694,3.847263079
,Ethiopia,2021-04-01 4:27,9.145,40.4897,206589,2865,158109,45615,Ethiopia,179.6995141,1.386811495
,Fiji,2021-04-01 4:27,-17.7134,178.065,67,2,64,1,Fiji,7.47397495,2.985074627
,Finland,2021-04-01 4:27,61.92411,25.748151,77452,844,46000,30608,Finland,1397.869374,1.089707173
French Guiana,France,2021-04-01 4:27,4,-53,16922,89,9995,6838,"French Guiana, France",5665.557349,0.52594256
French Polynesia,France,2021-04-01 4:27,-17.6797,-149.4068,18627,141,4842,13644,"French Polynesia, France",6631.091049,0.756965695
Guadeloupe,France,2021-04-01 4:27,16.265,-61.551,11512,173,2242,9097,"Guadeloupe, France",2877.086525,1.502779708
Martinique,France,2021-04-01 4:27,14.6415,-61.0242,7679,50,98,7531,"Martinique, France",2046.28729,0.651126449
Mayotte,France,2021-04-01 4:27,-12.8275,45.166244,19408,161,2964,16283,"Mayotte, France",7114.03049,0.829554823
New Caledonia,France,2021-04-01 4:27,-20.904305,165.618042,121,0,58,63,"New Caledonia, France",42.38312241,0
Reunion,France,2021-04-01 4:27,-21.1151,55.5364,16586,115,14828,1643,"Reunion, France",1852.546833,0.693355842
Saint Barthelemy,France,2021-04-01 4:27,17.9,-62.8333,857,1,462,394,"Saint Barthelemy, France",8669.701568,0.116686114
Saint Pierre and Miquelon,France,2021-04-01 4:27,46.8852,-56.3159,24,0,24,0,"Saint Pierre and Miquelon, France",414.1501294,0
St Martin,France,2021-04-01 4:27,18.0708,-63.0501,1657,12,1399,246,"St Martin, France",4286.194677,0.724200362
Wallis and Futuna,France,2021-04-01 4:27,-14.2938,-178.1165,401,4,44,353,"Wallis and Futuna, France",2622.800706,0.997506234
,France,2021-04-01 4:27,46.2276,2.2137,4611392,95052,264511,4251829,France,7067.284438,2.061243113
,Gabon,2021-04-01 4:27,-0.8037,11.6094,19550,118,16609,2823,Gabon,878.3642925,0.603580563
