,country,Confirmed,Deaths,Recovered,Incident_Rate,Case_Fatality_Ratio
183,Ukraine,1725029,34456,1360944.0,4037.9644299814818,2.150494777814815
184,United Arab Emirates,461444,1497,445355.0,4665.574699,0.324416397
185,United Kingdom,4359982,126955,13073.0,3468.096558772667,1.6525758120666665
186,United States,30531835,551457,0.0,9278.834759010228,2.7779591287720544
187,Uruguay,105549,974,83380.0,3038.494389,0.922794152
188,Uzbekistan,82869,629,80983.0,247.5977988,0.759029311
189,Vanuatu,3,0,1.0,1.02501025,0.0
190,Venezuela,160497,1602,147846.0,564.4159576,0.998149498
191,Vietnam,2603,35,2359.0,2.674170837,1.344602382
192,West Bank and Gaza,242353,2627,215429.0,4750.70059,1.083956048
193,Yemen,4357,888,1676.0,14.60807575,20.3809961
194,Zambia,88418,1208,84592.0,480.9519779,1.366237644
195,Zimbabwe,36882,1523,34686.0,248.1476226,4.129385608
